Epoch Number,Train Score,Dev Score
0,0.786297963050687,0.7680897250361796
1,0.832573424917101,0.7843704775687409
2,0.8445641875888206,0.7872648335745296
3,0.8549561819043108,0.8017366136034733
4,0.8442089057318806,0.7977568740955138
5,0.8839116532449076,0.804630969609262
6,0.8924384178114637,0.8075253256150506
7,0.8969682614874468,0.8198263386396526
8,0.9242361440075794,0.8172937771345876
9,0.9429772619611559,0.8154848046309696
10,0.9565667929891047,0.8314037626628076
11,0.9530139744197064,0.8180173661360347
12,0.9532804358124112,0.8187409551374819
13,0.9739756039791568,0.821273516642547
14,0.9769066792989105,0.8216353111432706
